Transaction,Item
1,Milk
1,Bread
1,Butter
1,Cheese
2,Butter
2,Cheese
2,Jam
3,Bread
3,Butter
4,Bread
4,Butter
4,Cheese
5,Milk
5,Cheese
5,Jam
6,Milk
6,Butter
6,Cheese
7,Milk
7,Cheese
7,Jam
8,Milk
8,Bread
8,Cheese
8,Jam
9,Bread
9,Cheese
10,Milk
10,Bread
10,Butter
10,Cheese
11,Milk
11,Bread
11,Butter
11,Cheese
11,Jam
12,Milk
12,Jam
13,Milk
13,Butter
13,Cheese
14,Milk
14,Butter
14,Jam
15,Milk
15,Cheese
15,Jam
16,Milk
16,Bread
16,Cheese
17,Milk
17,Bread
17,Butter
17,Jam
18,Milk
18,Bread
18,Butter
18,Cheese
18,Jam
19,Bread
19,Butter
19,Cheese
19,Jam
20,Milk
20,Bread
20,Butter
